ds,yhat,yhat_lower,yhat_upper
2014-01-01,78.22799717005756,-6.727547183486558,166.15245909559306
2014-01-02,61.798181373787074,-22.83938623633163,141.13610232398625
2014-01-03,71.33307151957872,-14.056427202185116,154.1425260711386
2014-01-04,118.20404026593775,32.27238881290103,205.6079847158518
2014-01-05,71.95947114752478,-11.743677760367289,161.39361761266528
2014-01-06,42.893229519570006,-49.2436505107672,129.18820005968036
2014-01-07,39.03741078230235,-43.78720094336888,121.74520311113027
2014-01-08,62.41419338984412,-21.583845961728645,149.15487939489987
2014-01-09,50.65245678396702,-31.806203396370197,136.60645678402156
2014-01-10,65.18142649755487,-20.71006019804381,154.33875009709888
2014-01-11,117.25934833772934,35.428520917004384,201.34316316428973
2014-01-12,76.31706836101898,-4.078563057135774,158.69729324438984
2014-01-13,52.52908572908687,-28.495586181170733,134.28081637539904
2014-01-14,53.80890468510272,-29.816248300843423,132.752475539568
2014-01-15,82.06345587752647,-0.82258082384072,159.94557752729526
2014-01-16,74.81219126338135,-14.013210667915395,157.5408091387699
2014-01-18,148.9433284641568,61.294612653534465,235.10993216450703
2014-01-19,110.84504410556521,28.67736205849483,192.7355720982647
2014-01-20,89.19772508543261,7.359803802359892,178.31438523808887
2014-01-21,91.86501570076766,2.8592800508723806,181.0477877853515
2014-01-22,120.72008487139595,27.483362122159285,204.818871781548
2014-01-23,113.26534353956234,29.58979368342289,198.79238569184972
2014-01-24,130.82868176991934,48.736469184403134,212.3649369040336
2014-01-25,184.59417623049896,105.19880993405458,263.2497577627254
2014-01-26,143.94710630248017,54.0770623992195,236.6173338161275
2014-01-27,119.04582086520614,36.0958228592568,201.3334165726071
2014-01-28,117.81727076107622,35.02400843013528,203.63011930262766
2014-01-29,142.21097978145048,56.479751632160585,230.03547633712418
2014-01-30,129.81707462877182,43.73171731547346,215.9857614957858
2014-01-31,142.06061207791356,63.791474863654194,223.98796725709883
2014-02-01,190.2301972118184,99.72232984458765,267.87893045708523
2014-02-02,143.8207774215838,54.2338085813786,231.3183810284226
2014-02-03,113.1032027237849,25.964359259855954,194.13479186460947
2014-02-04,106.1174171248215,20.931984328949213,190.78668074386565
2014-02-05,124.92410349743345,37.5224756818223,200.69414635137207
2014-02-06,107.22045102753509,21.370756418945497,193.37932836302022
2014-02-07,114.53232997553245,27.897143181799517,190.34860494896685
2014-02-08,158.24091112414794,68.93405304367857,246.5358548459729
2014-02-09,107.92365416430209,24.717388807336224,192.57192727415278
2014-02-12,81.26549331982544,-8.637092071742055,169.11072298788008
2014-02-13,62.44108826642145,-18.776624190449628,148.17150782621871
2014-02-14,69.40140798606669,-14.82490316042081,155.93593710431324
2014-02-15,113.5264098067163,30.57458887760523,192.1914473499056
2014-02-16,64.37726713741586,-20.637739530781285,147.5487759495604
2014-02-17,32.264854657387296,-46.30264258524998,117.62030761157376
2014-02-18,25.24241176755617,-56.10459141927584,106.86495094049496
2014-02-19,45.35721032036786,-37.69080109557201,135.88849173600937
2014-02-20,30.26688779557127,-55.76279608812271,119.46267017481499
2014-02-21,41.432711754412615,-39.45583939281482,124.46774212876966
2014-02-22,90.14778358452652,1.3532386622816421,173.86210673059662
2014-02-23,45.88006676344003,-37.26588126947415,125.31471446326702
2014-02-24,18.84281748981539,-67.12822489055446,100.42500801335613
2014-02-25,16.989256675938194,-70.14501408226258,104.85290206580521
2014-02-26,42.26626799850592,-38.3763714857511,125.55086311966888
2014-02-27,32.23274206389631,-50.173873702341,114.08436688060834
2014-02-28,48.25479244011454,-29.96824767032008,134.7786877288332
2014-03-01,101.53581328641012,14.655528918413971,184.07769265721333
2014-03-02,61.461228059045716,-26.048673990082193,145.03370189862073
2014-03-03,38.17047457332005,-41.21318422393912,116.95410164470483
2014-03-05,67.50328242865386,-12.337710927296111,144.90574749859994
2014-03-06,59.539709547917774,-25.375480134694875,141.02605404694572
2014-03-07,77.00080844951522,-4.926105051712696,163.70743647034644
2014-03-08,131.07550322797184,47.14005643819799,215.03014928062828
2014-03-09,91.14801562553968,10.183571579012934,178.41100906917836
2014-03-10,67.3696982037718,-12.999251594787417,147.98679141453397
2014-03-11,67.65465306050464,-11.61440474283357,149.2937789808419
2014-03-12,93.93390742275385,8.827367897520844,172.36716767882476
2014-03-13,83.77376221594061,-0.6697725404277313,167.5437923472126
2014-03-14,98.570544764408,12.007968380764588,179.3938979468484
2014-03-16,106.25944207086785,23.114131708567648,183.352957459367
2014-03-17,78.84049556330822,-6.09602551960703,162.2348325789491
2014-03-18,75.32052122848248,-7.291711163893255,157.06509140339094
2014-03-19,97.71628609022841,12.978233548553712,180.16100027455366
2014-03-20,83.68027682798574,3.0259510713370705,171.13265688982221
2014-03-21,94.69367401203053,17.412579348448784,182.71513675465403
2014-03-22,142.0937565202226,57.49917440599956,229.95424034903863
2014-03-23,95.41564300314467,7.08587581357025,184.3236475052278
2014-03-24,64.96097954633562,-21.59141127596192,150.42030363582097
2014-03-25,58.79045276964306,-33.51169907962627,144.6714149386699
2014-03-26,78.9749613634728,-2.6659123213882987,159.4642784032032
2014-03-27,63.21112143615224,-25.95838028190041,146.74666484569494
2014-03-28,73.01339258776034,-13.587497393766935,155.03874064902666
2014-03-29,119.74086018388414,27.53470225468605,200.4657931664943
2014-03-30,72.93859226429055,-11.596053607734747,151.7057174759813
2014-03-31,42.90618714172276,-37.15840852284193,126.05163183113707
2014-04-01,37.690393049819114,-41.085200582870755,125.03635958195036
2014-04-02,59.336630122007094,-27.367736950486577,141.37946864789131
2014-04-03,45.505082579784606,-35.74815421804603,132.3468673452896
